"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.589649625E0,-2.739303589E-2,2.320175171E-2,9.831854553E0,9.831920090E0
2.599668625E0,-2.844085693E-2,2.335144043E-2,9.836195526E0,9.836264362E0
2.609687625E0,-2.664459229E-2,1.511856079E-2,9.829010468E0,9.829058209E0
2.619706625E0,-3.038681030E-2,1.616638184E-2,9.826765137E0,9.826825416E0
2.629725625E0,-2.619552612E-2,1.511856079E-2,9.821975098E0,9.822021665E0
2.639744625E0,-1.766326904E-2,1.287322998E-2,9.829010468E0,9.829034769E0
2.649763625E0,-2.380050659E-2,2.918930054E-2,9.839189301E0,9.839261383E0
2.659782625E0,-2.424957275E-2,2.020797729E-2,9.834249573E0,9.834300233E0
2.669801625E0,-3.068618774E-2,1.975891113E-2,9.838141479E0,9.838209178E0
2.679820625E0,-2.739303589E-2,1.257385254E-2,9.830806732E0,9.830852938E0
2.689839625E0,-2.200424194E-2,2.395019531E-2,9.842183075E0,9.842236813E0
2.699859625E0,-2.963836670E-2,2.125579834E-2,9.845775604E0,9.845843158E0
2.709878625E0,-2.874023438E-2,2.544708252E-2,9.839189301E0,9.839264182E0
2.719897625E0,-2.784210205E-2,2.200424194E-2,9.840536499E0,9.840600488E0
2.729916625E0,-2.320175171E-2,9.280700684E-3,9.835447083E0,9.835478827E0
2.739935625E0,-2.948867798E-2,2.559677124E-2,9.828262024E0,9.828339595E0
2.749954625E0,-2.754272461E-2,2.619552612E-2,9.829010468E0,9.829083964E0
2.759973625E0,-2.200424194E-2,1.990859985E-2,9.843679962E0,9.843724688E0
2.769992625E0,-2.664459229E-2,2.529739380E-2,9.839788055E0,9.839856649E0
2.780011625E0,-3.996688843E-2,2.409988403E-2,9.827513580E0,9.827624399E0
2.790030625E0,-2.754272461E-2,1.721420288E-2,9.828711090E0,9.828764756E0
2.800049625E0,-2.888992310E-2,2.454895020E-2,9.844877472E0,9.844950468E0
2.810068625E0,-2.829116821E-2,1.571731567E-2,9.835746460E0,9.835799706E0
2.820087625E0,-2.140548706E-2,1.721420288E-2,9.834399261E0,9.834437623E0
2.830106625E0,-2.305206299E-2,9.729766846E-3,9.839338989E0,9.839370804E0
2.840125625E0,-2.859054565E-2,1.796264648E-2,9.829010468E0,9.829068463E0
2.850144625E0,-2.679428101E-2,2.245330811E-2,9.829459534E0,9.829521698E0
2.860163625E0,-2.769241333E-2,1.676513672E-2,9.830207977E0,9.830261279E0
2.870182625E0,-3.248245239E-2,2.574645996E-2,9.842482452E0,9.842569726E0
2.880201625E0,-2.948867798E-2,2.230361938E-2,9.842931519E0,9.843000961E0
2.890220625E0,-2.335144043E-2,1.691482544E-2,9.825268250E0,9.825310559E0
2.900239625E0,-3.053649902E-2,2.634521484E-2,9.835746460E0,9.835829145E0
2.910258625E0,-3.682342529E-2,2.439926147E-2,9.840386810E0,9.840485957E0
2.920277625E0,-2.948867798E-2,1.886077881E-2,9.845625916E0,9.845688141E0
2.930296625E0,-2.395019531E-2,9.580078125E-3,9.840835876E0,9.840869684E0
2.940315625E0,-2.125579834E-2,1.422042847E-2,9.828561401E0,9.828594673E0
2.950334625E0,-2.050735474E-2,1.212478638E-2,9.815388794E0,9.815417706E0
2.960353625E0,-2.948867798E-2,1.257385254E-2,9.838440857E0,9.838493085E0
2.970372625E0,-3.502716064E-2,1.616638184E-2,9.831854553E0,9.831930238E0
2.980391625E0,-2.484832764E-2,1.736389160E-2,9.832602997E0,9.832649726E0
2.990410625E0,-2.859054565E-2,1.541793823E-2,9.836345215E0,9.836398849E0
3.000429625E0,-2.754272461E-2,1.287322998E-2,9.833052063E0,9.833099064E0
3.010448625E0,-2.978805542E-2,1.856140137E-2,9.826316071E0,9.826378752E0
3.020467625E0,-2.185455322E-2,2.544708252E-2,9.847272491E0,9.847329623E0
3.030486625E0,-2.095642090E-2,1.751358032E-2,9.844727783E0,9.844765666E0
3.040505625E0,-2.814147949E-2,1.496887207E-2,9.836794281E0,9.836845924E0
3.050524625E0,-2.514770508E-2,1.945953369E-2,9.829010468E0,9.829061901E0
3.060543625E0,-3.023712158E-2,1.496887207E-2,9.828860779E0,9.828918687E0
3.070562625E0,-2.978805542E-2,1.422042847E-2,9.825717316E0,9.825772759E0
3.080581625E0,-2.903961182E-2,1.871109009E-2,9.834848328E0,9.834909000E0
3.090600625E0,-2.709365845E-2,1.960922241E-2,9.840835876E0,9.840892710E0
3.100619625E0,-2.814147949E-2,2.200424194E-2,9.823771362E0,9.823836313E0
3.110638625E0,-3.203338623E-2,3.023712158E-2,9.832004242E0,9.832102920E0
3.120657625E0,-2.649490356E-2,1.886077881E-2,9.833201752E0,9.833255534E0
3.130676625E0,-2.814147949E-2,1.062789917E-2,9.843230896E0,9.843276861E0
3.140695625E0,-3.397933960E-2,2.230361938E-2,9.839338989E0,9.839422940E0
3.150714625E0,-3.143463135E-2,1.706451416E-2,9.832902374E0,9.832967428E0
3.160733625E0,-2.380050659E-2,2.215393066E-2,9.817783813E0,9.817837657E0
3.170752625E0,-2.604583740E-2,1.317260742E-2,9.831555176E0,9.831598501E0
3.180771625E0,-2.933898926E-2,1.916015625E-2,9.825867004E0,9.825929487E0
3.190790625E0,-2.035766602E-2,2.125579834E-2,9.832602997E0,9.832647046E0
